,index,name,temp_day_x,temp_min_x,temp_max_x,feels_like_day_x,feels_like_morn_x,sunrise_x,humidity_x,wind_speed_x,clouds_x,uvi_x,temp_day_y,temp_min_y,temp_max_y,feels_like_day_y,feels_like_morn_y,sunrise_y,humidity_y,wind_speed_y,clouds_y,uvi_y,min_temp_day,min_temp_min,min_temp_max,min_feels_like_day,min_feels_like_morn,min_sunrise,min_humidity,min_wind_speed,min_clouds,min_uvi,sum_pop,latitude,longitude,latitude_rounded
12,12,Gorges du Verdon,19.43,10.89,19.84,18.52,11.53,1727241932,96,4.82,100,5,16.60875,9.2475,17.35375,15.88375,9.63875,1726939295,59.625,3.43,72.375,4.795,11.28,7.76,12.88,10.97,7.53,1726636659,40,1.74,24,4.5,3.42,43.7496562,6.3285616,43.7497
25,25,Château du Haut-Kœnigsbourg,20.42,12.31,20.42,19.95,12.31,1727241704,97,6.16,100,4.31,17.58375,10.3425,18.495,17.17,10.42625,1726939014,67.875,2.975,67.625,3.48,12.46,8.7,12.5,12.29,7.93,1726636325,55,1.28,0,2.12,5.93,48.2495226,7.3454923,48.2495
19,19,Annecy,22.77,13.73,22.77,22.23,13.74,1727241987,98,2.84,100,4.54,19.17375,11.3825,20.015,18.81,11.465,1726939326,63.75,1.8375,78.25,3.5775,13.14,9.62,13.71,13.07,8.97,1726636666,43,1.44,19,2.05,3.48,45.8992348,6.1288847,45.8992
21,21,Besançon,22.92,14.28,23.72,22.63,14.74,1727242017,99,5.41,100,4.54,18.94125,11.70125,19.93625,18.74375,12.255,1726939340,71,2.66875,64.75,4.05125,13.2,8.71,14.2,13.16,8.71,1726636664,52,1.31,0,3.15,5.73,47.2380222,6.0243622,47.238
27,27,Mont Saint-Michel,22.07,14.34,24.12,21.61,14.77,1727243833,65,7.64,100,4.25,20.0325,12.67,21.41125,19.645,12.77375,1726941138,59.5,5.835,60.75,3.37,17.78,10.61,18.53,17.31,10.15,1726638444,49,2.59,5,2.95,4.44,48.6359541,-1.511459955,48.636
