,index,name,temp_day_x,temp_min_x,temp_max_x,feels_like_day_x,feels_like_morn_x,sunrise_x,humidity_x,wind_speed_x,clouds_x,uvi_x,temp_day_y,temp_min_y,temp_max_y,feels_like_day_y,feels_like_morn_y,sunrise_y,humidity_y,wind_speed_y,clouds_y,uvi_y,min_temp_day,min_temp_min,min_temp_max,min_feels_like_day,min_feels_like_morn,min_sunrise,min_humidity,min_wind_speed,min_clouds,min_uvi,sum_pop,latitude,longitude,latitude_rounded
18,18,Lyon,25.24,15.55,25.24,24.89,15.46,1727242298,93,5.16,100,4.53,21.3875,13.99,22.345,21.0425,13.845,1726939639.125,55.875,3.05875,66.75,4.07625,15.27,12.68,15.73,15.28,12.28,1726636981,41,1.43,7,3.38,3.67,45.7578137,4.8320114,45.7578
19,19,Annecy,22.67,13.03,23.23,22.14,13.0,1727241987,99,2.84,100,4.54,19.45625,11.629999999999999,20.03625,19.11125,11.24875,1726939326.125,63.375,1.85625,59.625,3.5775,14.28,9.23,14.4,14.35,8.93,1726636666,44,1.22,7,2.05,4.16,45.8992348,6.1288847,45.8992
20,20,La Rochelle,21.3,16.64,22.17,21.03,16.85,1727243737,87,9.52,100,4.51,19.4425,15.68125,19.83875,19.3125,15.858749999999999,1726941073.0,71.625,6.44375,50.625,3.44125,17.72,13.93,18.03,17.82,13.57,1726638410,57,4.72,0,2.69,4.74,46.1591126,-1.1520434,46.1591
21,21,Besançon,22.92,14.89,24.06,22.63,15.3,1727242017,98,5.41,100,4.54,20.06375,11.69375,21.07375,19.83625,11.3825,1726939340.0,65.5,2.7825,58.0,4.05125,14.59,8.88,16.05,14.66,7.89,1726636664,52,1.58,8,3.15,5.05,47.2380222,6.0243622,47.238
22,22,Dijon,21.28,13.74,23.3,21.08,13.83,1727242254,90,7.23,100,4.39,18.90375,11.8575,20.675,18.63625,11.7325,1726939575.375,68.5,4.15625,71.875,3.995,15.09,9.77,16.15,15.0,8.84,1726636898,57,2.25,3,3.41,3.95,47.3215806,5.0414701,47.3216
23,23,Eguisheim,23.34,14.68,23.34,23.17,14.78,1727241712,81,6.98,100,4.31,20.86375,13.09875,21.51875,20.6275,12.901250000000001,1726939024.375,62.125,2.99,64.375,3.48,18.56,11.11,18.56,18.29,10.68,1726636338,55,1.86,0,2.12,4.55,48.0447968,7.3079618,48.0448
24,24,Colmar,23.55,14.87,23.55,23.42,15.19,1727241700,80,7.01,100,4.31,21.10375,13.29875,21.77625,20.90875,13.14375,1726939012.125,62.75,3.08125,65.375,3.48,18.91,11.38,18.91,18.83,11.0,1726636325,56,1.83,0,2.12,4.92,48.0777517,7.3579641,48.0778
25,25,Château du Haut-Kœnigsbourg,21.17,12.39,21.17,20.8,12.47,1727241704,83,6.71,100,4.31,18.517500000000002,10.60375,19.07,18.1,10.29,1726939013.75,64.125,3.115,71.25,3.48,15.93,8.73,15.93,15.75,7.6,1726636325,55,1.91,0,2.12,4.86,48.2495226,7.3454923,48.2495
26,26,Strasbourg,23.01,15.37,23.34,22.88,15.42,1727241608,90,6.73,100,4.22,20.8325,13.53,21.8675,20.615000000000002,13.30125,1726938913.25,63.0,3.5925000000000002,68.625,3.92875,16.58,11.41,17.82,16.64,10.98,1726636220,48,1.68,0,3.31,3.33,48.584614,7.7507127,48.5846
27,27,Mont Saint-Michel,22.21,13.86,24.08,21.97,13.83,1727243833,93,10.33,100,4.25,20.1975,12.90625,21.11875,19.99375,12.807500000000001,1726941137.875,65.875,6.67375,55.5,3.37,15.85,11.28,17.22,15.92,10.97,1726638444,49,4.38,1,2.95,4.75,48.6359541,-1.511459954959514,48.636
28,28,Saint-Malo,21.09,15.59,21.85,20.82,15.4,1727243957,91,12.2,100,4.31,19.455,14.14125,20.01625,19.30625,14.0875,1726941261.375,70.875,7.5825,66.5,3.7525,16.11,12.42,17.73,16.15,12.12,1726638567,58,4.82,0,2.74,5.09,48.649518,-2.0260409,48.6495
29,29,Paris,23.21,16.52,25.21,22.74,16.67,1727242906,74,6.52,100,4.21,21.47125,15.6225,22.77125,21.01125,15.3675,1726940208.625,51.25,4.64875,52.5,2.91125,18.74,14.59,18.74,18.13,14.13,1726637512,39,3.12,0,1.7,4.3,48.8534951,2.3483915,48.8535
30,30,Bayeux,22.02,14.07,22.88,21.66,15.97,1727243641,89,10.21,100,4.11,19.73625,12.84125,20.39,19.39375,13.04,1726940937.375,62.375,7.06125,51.0,3.69875,15.76,10.32,16.45,15.72,9.89,1726638235,53,4.59,1,2.99,5.99,49.2764624,-0.7024738,49.2765
31,31,Rouen,23.23,14.9,24.97,22.99,16.13,1727243210,78,8.18,100,4.07,20.5,13.41,21.64375,20.17875,13.48875,1726940504.25,60.25,6.24375,49.75,2.8425000000000002,15.84,11.45,16.44,15.52,11.47,1726637800,44,3.81,3,1.74,4.8,49.4404591,1.0939658,49.4405
32,32,Le Havre,21.32,16.35,22.55,20.89,16.55,1727243447,90,11.92,100,4.08,18.76125,14.94125,19.77,18.53875,14.8,1726940740.625,70.75,7.20875,47.75,3.29125,15.6,13.65,16.35,15.43,13.29,1726638035,53,4.76,1,2.79,4.75,49.4938975,0.1079732,49.4939
33,33,Amiens,23.9,15.2,25.03,23.6,15.58,1727242923,78,9.48,100,4.03,20.56375,13.4825,21.505,20.1225,13.385,1726940211.125,55.5,6.4037500000000005,51.0,2.8112500000000002,16.87,11.35,16.87,16.28,10.89,1726637500,41,4.32,1,1.39,3.1100000000000003,49.8941708,2.2956951,49.8942
34,34,Lille,23.78,15.68,25.73,23.44,15.54,1727242741,82,8.77,100,3.78,21.075,14.4275,22.1475,20.6625,14.16625,1726940019.125,54.625,5.85375,47.5,3.2725,18.68,13.18,18.68,18.47,12.72,1726637298,42,3.65,0,2.78,3.8,50.6365654,3.0635282,50.6366
