,level_0,index,name,temp_day_x,temp_min_x,temp_max_x,feels_like_day_x,feels_like_morn_x,sunrise_x,humidity_x,wind_speed_x,clouds_x,uvi_x,rain_x,temp_day_y,temp_min_y,temp_max_y,feels_like_day_y,feels_like_morn_y,sunrise_y,humidity_y,wind_speed_y,clouds_y,uvi_y,rain_y,min_temp_day,min_temp_min,min_temp_max,min_feels_like_day,min_feels_like_morn,min_sunrise,min_humidity,min_wind_speed,min_clouds,min_uvi,min_rain,sum_pop,sum_rain,latitude,longitude,latitude_rounded
17,17,17,Grenoble,20.86,13.73,21.88,20.23,14.99,1726463831,98,3.9,100,5.5,12.11,16.15,9.44875,17.76125,15.68375,9.77125,1726161181.5,71.375,3.08875,85.75,4.0925,4.22625,11.1,5.95,12.54,10.46,4.83,1725858532,47,2.13,37,1.95,0.0,5.0,33.81,45.1875602,5.7357819,45.1876
18,18,18,Lyon,19.85,14.53,22.09,19.07,14.91,1726464034,76,7.21,100,5.32,5.43,17.31375,10.64875,18.57,16.51875,9.99125,1726161377.0,54.375,5.47875,69.875,4.3375,1.4675,12.69,7.54,15.21,11.84,5.51,1725858720,41,3.7,0,2.48,0.0,4.15,11.74,45.7578137,4.8320114,45.7578
19,19,19,Annecy,19.48,12.05,21.51,19.23,12.96,1726463718,95,5.81,100,5.35,18.1,15.445,7.90625,16.2175,14.80375,8.655000000000001,1726161060.0,67.375,3.05625,84.0,4.335,5.9425,10.36,4.14,12.75,9.93,4.71,1725858402,52,1.5,59,0.51,0.0,5.05,47.54,45.8992348,6.1288847,45.8992
20,20,20,La Rochelle,21.23,16.86,21.23,21.24,18.25,1726465460,71,10.49,99,5.06,2.63,18.03375,12.69875,18.62375,17.345,12.526250000000001,1726162799.0,55.625,7.61875,29.625,4.66375,0.54375,16.18,9.7,16.56,14.95,7.57,1725860138,36,5.12,0,3.85,0.0,2.9699999999999998,4.35,46.1591126,-1.1520434,46.1591
21,21,21,Besançon,17.33,13.37,19.53,16.74,13.31,1726463707,97,6.16,100,5.0,22.03,14.585,7.4712499999999995,15.5475,14.02,8.1025,1726161032.25,73.5,4.24,80.25,3.2775,6.60125,10.47,3.58,12.82,9.9,2.71,1725858358,47,2.26,5,0.52,0.0,6.0,52.81,47.2380222,6.0243622,47.238
22,22,22,Dijon,18.1,14.12,20.22,17.43,14.42,1726463940,92,6.55,100,4.89,5.91,15.54375,8.678749999999999,16.21875,14.8875,8.45625,1726161265.0,66.375,5.4475,70.25,3.7,2.51125,13.07,5.87,13.54,12.73,3.87,1725858590,47,2.99,13,0.36,0.0,4.4,20.09,47.3215806,5.0414701,47.3216
23,23,23,Eguisheim,19.42,13.45,19.98,18.72,13.72,1726463375,92,4.41,100,4.51,10.94,15.1425,8.911249999999999,15.9625,14.4375,9.60875,1726160690.625,66.125,3.015,83.5,3.22625,3.3225,10.69,5.86,13.27,9.72,6.06,1725858006,46,1.94,44,0.23,0.0,5.0,26.58,48.0447968,7.3079618,48.0448
24,24,24,Colmar,19.66,13.67,20.28,19.01,14.04,1726463362,92,4.46,100,4.51,10.18,15.42375,9.13875,16.2675,14.7575,9.68125,1726160677.125,66.5,3.04,83.125,3.22625,3.3175,10.92,6.03,13.76,10.03,6.12,1725857992,46,1.98,42,0.23,0.0,4.96,26.54,48.0777517,7.3579641,48.0778
25,25,25,Château du Haut-Kœnigsbourg,16.75,11.02,17.81,16.26,11.55,1726463360,95,4.29,100,4.51,10.65,12.99375,6.32,13.82125,12.08375,6.555,1726160673.0,65.25,3.1675,79.75,3.22625,3.84,8.24,2.95,11.1,7.43,1.64,1725857986,45,2.17,30,0.23,0.0,5.11,30.72,48.2495226,7.3454923,48.2495
26,26,26,Strasbourg,19.06,14.19,19.71,18.93,14.23,1726463253,92,5.83,100,4.0,15.87,15.43625,9.73,16.145,14.7525,10.2575,1726160561.375,65.75,4.00625,79.125,3.2325,4.975,12.2,6.4,13.01,11.49,6.7,1725857870,47,2.17,33,0.67,0.0,6.17,39.8,48.584614,7.7507127,48.5846
27,27,27,Mont Saint-Michel,19.14,14.52,20.08,18.78,16.81,1726465476,91,9.07,100,5.0,7.56,16.1575,10.592500000000001,16.951249999999998,15.53625,10.71625,1726162784.125,65.375,6.6075,70.375,3.95375,1.89625,13.55,7.35,13.55,12.71,5.33,1725860092,50,3.02,2,2.03,0.0,4.52,15.17,48.6359541,-1.511459954959514,48.636
28,28,28,Saint-Malo,19.08,15.47,19.71,18.74,17.05,1726465600,82,10.13,100,5.0,5.08,16.3425,13.00625,16.9175,15.6575,12.705,1726162907.25,62.25,7.50375,75.25,3.82375,1.355,14.67,10.4,14.67,13.65,9.35,1725860215,51,2.88,23,1.87,0.0,5.35,10.84,48.649518,-2.0260409,48.6495
29,29,29,Paris,20.37,15.63,21.43,19.59,16.15,1726464543,86,6.52,100,4.0,2.39,17.4725,12.6375,18.45,16.68625,12.14625,1726161847.625,54.0,4.8475,76.75,3.3225,0.82625,16.01,10.4,16.71,14.76,9.09,1725859153,35,2.45,15,2.08,0.0,3.3,6.61,48.8534951,2.3483915,48.8535
30,30,30,Bayeux,19.23,12.86,19.24,18.64,14.96,1726465263,75,10.5,100,5.0,9.24,16.34,9.6,16.728749999999998,15.588750000000001,10.1975,1726162562.0,59.75,6.445,75.875,3.955,1.9075,12.86,7.27,13.42,12.03,5.27,1725859861,48,2.35,6,1.56,0.0,5.1899999999999995,15.26,49.2764624,-0.7024738,49.2765
31,31,31,Rouen,19.15,13.59,19.15,18.5,16.3,1726464826,91,8.15,100,5.0,3.8,16.585,9.6,17.2,15.88375,10.56,1726162123.125,60.625,5.90625,78.75,3.64,1.01875,14.29,6.94,15.34,13.42,5.39,1725859420,41,2.84,50,1.87,0.0,4.4,8.15,49.4404591,1.0939658,49.4405
32,32,32,Le Havre,17.68,16.44,18.58,17.57,17.02,1726465061,83,12.92,100,5.0,9.67,15.46875,14.015,16.43,14.86,13.942499999999999,1726162357.75,68.5,8.41,78.625,3.7325,3.03125,13.24,12.42,14.11,12.42,11.87,1725859654,54,3.79,17,1.63,0.0,5.32,24.25,49.4938975,0.1079732,49.4939
33,33,33,Amiens,19.77,13.89,19.77,19.24,15.82,1726464523,87,9.06,100,4.0,3.7,16.33125,9.955,16.705,15.6025,10.0175,1726161814.125,60.625,6.17875,73.75,3.1125,0.8175000000000001,12.8,6.6,13.74,11.75,4.97,1725859105,43,3.76,21,1.05,0.0,3.55,6.540000000000001,49.8941708,2.2956951,49.8942
34,34,34,Lille,20.33,13.76,20.33,19.65,13.82,1726464315,80,9.01,100,4.0,5.06,16.89625,10.81125,17.335,16.0275,9.93375,1726161595.5,53.0,6.4875,65.625,3.58625,1.60625,15.18,7.92,15.83,13.93,5.64,1725858876,38,3.74,14,2.33,0.0,4.54,12.85,50.6365654,3.0635282,50.6366
